0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-02-11 20:00:28,0,0.0,9.4,550.0,1.02,1.07,27.0,1000.0
2023-02-11 20:00:29,0,1.0,9.4,550.0,1.02,1.07,27.0,1000.0
2023-02-11 20:00:30,0,2.0,9.4,550.0,1.02,1.07,27.0,1000.0
2023-02-11 20:00:31,0,3.0,9.4,550.0,1.02,1.06,28.0,1000.0
2023-02-11 20:00:32,0,4.0,9.4,550.0,1.02,1.06,28.0,1000.0
2023-02-11 20:00:33,0,5.0,9.4,550.0,1.02,1.06,28.0,1000.0
2023-02-11 20:00:34,0,6.0,9.4,550.0,1.02,1.06,28.0,1000.0
2023-02-11 20:00:35,0,7.0,9.4,550.0,1.02,1.06,28.0,1000.0
2023-02-11 20:00:36,0,8.0,9.4,550.0,1.02,1.06,28.0,1000.0
2023-02-11 20:00:37,0,9.0,15.0,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:38,0,10.0,15.0,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:39,0,11.0,15.0,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:40,0,12.0,15.0,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:41,0,13.0,9.4,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:42,0,14.0,9.4,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:43,0,15.0,9.4,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:44,0,16.0,9.4,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:45,0,17.0,9.4,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:46,0,18.0,9.4,550.0,1.03,1.06,28.0,1000.0
2023-02-11 20:00:47,0,19.0,36.0,550.0,1.02,1.03,9.4,1000.0
2023-02-11 20:00:48,0,20.0,36.0,550.0,1.02,1.03,9.4,1000.0
2023-02-11 20:00:49,0,21.0,36.0,550.0,1.02,1.03,9.4,1000.0
2023-02-11 20:00:50,0,22.0,36.0,550.0,1.02,1.03,9.4,1000.0
2023-02-11 20:00:51,0,23.0,38.0,290.0,1.02,1.03,38.0,290.0
2023-02-11 20:00:52,0,24.0,38.0,290.0,1.02,1.03,38.0,290.0
2023-02-11 20:00:53,0,25.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:00:54,0,26.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:00:55,0,27.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:00:56,0,28.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:00:57,0,29.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:00:58,0,30.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:00:59,0,31.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:00,0,32.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:01,0,33.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:02,0,34.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:03,0,35.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:04,0,36.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:05,0,37.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:06,0,38.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:07,0,39.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:08,0,40.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:09,0,41.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:10,0,42.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:11,0,43.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:12,0,44.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:13,0,45.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:14,0,46.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:15,0,47.0,38.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:16,0,48.0,40.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:17,0,49.0,40.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:18,0,50.0,40.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:19,0,51.0,40.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:20,0,52.0,40.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:21,0,53.0,40.0,270.0,1.02,1.03,38.0,270.0
2023-02-11 20:01:22,0,54.0,40.0,270.0,1.02,1.03,38.0,270.0
