0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-02-11 19:02:00,0,0.0,5.4,85.0,1.09,1.27,5.1,110.0
2023-02-11 19:02:01,0,1.0,11.5,85.0,1.17,1.27,5.1,9.2
2023-02-11 19:02:02,0,2.0,11.5,85.0,1.17,1.27,5.1,9.2
2023-02-11 19:02:03,0,3.0,12.0,16.5,1.25,1.26,6.8,8.2
2023-02-11 19:02:04,0,4.0,12.0,16.5,1.25,1.26,6.8,8.2
2023-02-11 19:02:05,0,5.0,11.5,85.0,1.25,1.26,5.3,8.2
2023-02-11 19:02:06,0,6.0,11.5,85.0,1.25,1.26,5.3,8.2
2023-02-11 19:02:07,0,7.0,11.5,85.0,1.25,1.26,5.3,8.2
2023-02-11 19:02:08,0,8.0,13.0,75.0,1.25,1.26,5.6,7.6
2023-02-11 19:02:09,0,9.0,13.0,75.0,1.25,1.26,5.6,7.6
2023-02-11 19:02:10,0,10.0,13.0,22.0,1.25,1.26,6.2,7.6
2023-02-11 19:02:11,0,11.0,13.0,22.0,1.25,1.26,6.2,7.6
2023-02-11 19:02:12,0,12.0,13.0,22.0,1.25,1.26,6.2,7.6
2023-02-11 19:02:13,0,13.0,12.0,17.0,1.25,1.27,6.4,7.6
2023-02-11 19:02:14,0,14.0,12.0,17.0,1.25,1.27,6.4,7.6
2023-02-11 19:02:15,0,15.0,12.0,16.5,1.26,1.27,6.4,7.6
2023-02-11 19:02:16,0,16.0,12.0,16.5,1.26,1.27,6.4,7.6
2023-02-11 19:02:17,0,17.0,12.0,16.5,1.26,1.27,6.4,7.6
2023-02-11 19:02:18,0,18.0,12.0,16.5,1.26,1.27,6.4,7.6
2023-02-11 19:02:19,0,19.0,12.0,16.5,1.26,1.27,6.4,7.6
2023-02-11 19:02:20,0,20.0,13.0,16.5,1.26,1.3,5.8,7.6
2023-02-11 19:02:21,0,21.0,13.0,16.5,1.26,1.3,5.8,7.6
2023-02-11 19:02:22,0,22.0,13.0,16.5,1.26,1.3,5.8,7.6
2023-02-11 19:02:23,0,23.0,13.0,16.0,1.26,1.3,6.6,7.6
2023-02-11 19:02:24,0,24.0,13.0,16.0,1.26,1.3,6.6,7.6
2023-02-11 19:02:25,0,25.0,13.0,16.0,1.26,1.29,6.6,7.6
2023-02-11 19:02:26,0,26.0,13.0,16.0,1.26,1.29,6.6,7.6
2023-02-11 19:02:27,0,27.0,12.0,16.5,1.27,1.29,6.6,7.4
2023-02-11 19:02:28,0,28.0,12.0,16.5,1.27,1.29,6.6,7.4
2023-02-11 19:02:29,0,29.0,12.0,16.5,1.27,1.29,6.6,7.4
