0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-02-12 23:09:54,0,0.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:09:55,0,1.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:09:56,0,2.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:09:57,0,3.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:09:58,0,4.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:09:59,0,5.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:00,0,6.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:01,0,7.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:02,0,8.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:03,0,9.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:04,0,10.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:05,0,11.0,1.2,2.4,2.18,21.0,3.8,8.0
2023-02-12 23:10:06,0,12.0,2.03,2.38,2.89,3.53,3.8,5.98
2023-02-12 23:10:07,0,13.0,2.15,2.39,3.04,3.58,3.8,4.12
2023-02-12 23:10:08,0,14.0,2.12,2.4,2.96,3.7,3.8,4.2
2023-02-12 23:10:09,0,15.0,2.12,2.4,2.96,3.7,3.8,4.2
2023-02-12 23:10:10,0,16.0,2.12,2.4,2.96,3.7,3.85,4.2
2023-02-12 23:10:11,0,17.0,2.2,2.36,3.15,3.5,3.85,4.1
2023-02-12 23:10:12,0,18.0,2.2,2.36,3.15,3.5,3.85,4.1
2023-02-12 23:10:13,0,19.0,2.2,2.36,3.15,3.5,3.85,4.1
2023-02-12 23:10:14,0,20.0,2.22,2.36,3.15,3.48,3.85,4.1
2023-02-12 23:10:15,0,21.0,2.24,2.36,3.15,3.45,3.85,4.1
