0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-04-11 23:09:10,0,0.0,2.06,2.12,3.95,4.3,3.6,3.65
2023-04-11 23:09:11,0,1.0,2.06,2.12,3.95,4.3,3.6,3.65
2023-04-11 23:09:12,0,2.0,2.06,2.12,3.95,4.3,3.6,3.65
2023-04-11 23:09:13,0,3.0,2.06,2.12,3.95,4.3,3.6,3.65
2023-04-11 23:09:14,0,4.0,2.06,2.12,3.95,4.3,3.6,3.65
2023-04-11 23:09:15,0,5.0,2.06,2.12,3.95,4.3,3.6,3.7
2023-04-11 23:09:16,0,6.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:17,0,7.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:18,0,8.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:19,0,9.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:20,0,10.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:21,0,11.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:22,0,12.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:23,0,13.0,2.06,2.12,3.95,4.3,3.6,3.85
2023-04-11 23:09:24,0,14.0,2.06,2.12,4.0,4.3,3.35,3.8
2023-04-11 23:09:25,0,15.0,2.06,2.12,4.0,4.3,3.35,3.8
2023-04-11 23:09:26,0,16.0,2.06,2.12,4.0,4.9,3.1,3.8
2023-04-11 23:09:27,0,17.0,2.06,2.12,4.0,4.9,3.1,3.8
2023-04-11 23:09:28,0,18.0,2.08,2.12,4.0,4.9,3.1,3.75
2023-04-11 23:09:29,0,19.0,2.08,2.12,4.0,4.9,3.1,3.75
2023-04-11 23:09:30,0,20.0,2.08,2.12,4.0,4.8,3.15,3.75
2023-04-11 23:09:31,0,21.0,2.08,2.12,4.0,4.8,3.15,3.75
2023-04-11 23:09:32,0,22.0,2.08,2.12,4.0,4.8,3.15,3.75
2023-04-11 23:09:33,0,23.0,2.08,2.12,4.0,4.8,3.1,3.75
2023-04-11 23:09:34,0,24.0,2.08,2.12,4.0,4.8,3.1,3.75
2023-04-11 23:09:35,0,25.0,2.08,2.12,4.0,4.8,3.1,3.75
2023-04-11 23:09:36,0,26.0,2.08,2.14,3.95,4.2,3.1,3.8
2023-04-11 23:09:37,0,27.0,2.08,2.12,3.95,4.1,3.65,3.8
2023-04-11 23:09:38,0,28.0,2.08,2.12,3.95,4.1,3.65,3.8
2023-04-11 23:09:39,0,29.0,2.08,2.3,3.95,4.2,3.1,3.8
2023-04-11 23:09:40,0,30.0,2.08,2.3,3.95,4.2,3.1,3.8
2023-04-11 23:09:41,0,31.0,2.08,2.2,3.95,4.2,3.45,3.8
2023-04-11 23:09:42,0,32.0,2.08,2.2,3.95,4.2,3.45,3.8
2023-04-11 23:09:43,0,33.0,2.08,2.2,3.95,4.2,3.45,3.75
2023-04-11 23:09:44,0,34.0,2.08,2.2,3.95,4.2,3.45,3.75
2023-04-11 23:09:45,0,35.0,2.08,2.2,3.95,4.2,3.45,3.75
2023-04-11 23:09:46,0,36.0,2.08,2.16,3.95,4.2,3.55,3.75
2023-04-11 23:09:47,0,37.0,2.08,2.16,3.95,4.2,3.55,3.75
2023-04-11 23:09:48,0,38.0,2.08,2.16,3.95,4.1,3.55,3.75
2023-04-11 23:09:49,0,39.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:50,0,40.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:51,0,41.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:52,0,42.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:53,0,43.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:54,0,44.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:55,0,45.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:56,0,46.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:57,0,47.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:58,0,48.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:09:59,0,49.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:00,0,50.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:01,0,51.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:02,0,52.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:03,0,53.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:04,0,54.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:05,0,55.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:06,0,56.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:07,0,57.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:08,0,58.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:09,0,59.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:10,1,60.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:11,1,61.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:12,1,62.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:13,1,63.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:14,1,64.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:15,1,65.0,2.12,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:16,1,66.0,2.1,2.16,3.95,4.2,3.55,3.65
2023-04-11 23:10:17,1,67.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:18,1,68.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:19,1,69.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:20,1,70.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:21,1,71.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:22,1,72.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:23,1,73.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:24,1,74.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:25,1,75.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:26,1,76.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:27,1,77.0,2.1,2.16,3.95,4.1,3.55,3.65
2023-04-11 23:10:28,1,78.0,2.1,2.12,3.95,4.1,3.5,3.65
2023-04-11 23:10:29,1,79.0,2.08,2.12,3.95,4.1,3.5,3.65
2023-04-11 23:10:30,1,80.0,2.08,2.12,3.95,4.1,3.5,3.65
2023-04-11 23:10:31,1,81.0,2.08,2.12,3.95,4.1,3.5,3.65
2023-04-11 23:10:32,1,82.0,2.08,2.16,3.95,4.1,3.5,3.65
2023-04-11 23:10:33,1,83.0,2.08,2.16,3.95,4.1,3.5,3.65
2023-04-11 23:10:34,1,84.0,2.08,2.16,3.95,4.1,3.5,3.65
2023-04-11 23:10:35,1,85.0,2.08,2.16,3.95,4.1,3.5,3.65
2023-04-11 23:10:36,1,86.0,2.08,2.16,3.95,4.1,3.5,3.65
