0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-12-11 12:02:30,0,0.0,15.0,80.0,1.16,1.23,7.4,9.4
2023-12-11 12:02:31,0,1.0,15.0,80.0,1.16,1.23,7.4,9.4
2023-12-11 12:02:32,0,2.0,15.0,80.0,1.16,1.23,7.4,9.4
2023-12-11 12:02:33,0,3.0,15.0,80.0,1.17,1.23,7.4,9.4
2023-12-11 12:02:34,0,4.0,16.0,25.0,1.22,1.23,7.4,8.0
2023-12-11 12:02:35,0,5.0,16.0,25.0,1.22,1.23,7.4,8.0
2023-12-11 12:02:36,0,6.0,16.0,25.0,1.22,1.23,7.4,8.0
2023-12-11 12:02:37,0,7.0,16.0,17.5,1.22,1.23,7.6,8.6
2023-12-11 12:02:38,0,8.0,16.0,17.5,1.22,1.23,7.6,8.6
2023-12-11 12:02:39,0,9.0,16.0,17.5,1.22,1.23,7.6,8.6
2023-12-11 12:02:40,0,10.0,16.0,17.5,1.22,1.23,7.6,8.6
2023-12-11 12:02:41,0,11.0,16.0,17.5,1.22,1.23,7.6,8.6
2023-12-11 12:02:42,0,12.0,16.0,17.5,1.22,1.23,7.6,8.2
2023-12-11 12:02:43,0,13.0,16.0,17.5,1.22,1.23,7.6,8.4
2023-12-11 12:02:44,0,14.0,16.0,17.5,1.22,1.23,7.6,8.4
2023-12-11 12:02:45,0,15.0,16.0,17.5,1.22,1.23,7.6,8.4
2023-12-11 12:02:46,0,16.0,16.0,17.5,1.22,1.23,7.6,8.0
2023-12-11 12:02:47,0,17.0,16.0,17.5,1.22,1.23,7.6,8.0
2023-12-11 12:02:48,0,18.0,16.0,17.5,1.23,1.24,7.4,8.0
2023-12-11 12:02:49,0,19.0,15.0,17.5,1.23,1.24,7.4,8.0
2023-12-11 12:02:50,0,20.0,15.0,17.5,1.23,1.24,7.4,8.0
2023-12-11 12:02:51,0,21.0,15.0,17.5,1.23,1.24,7.4,8.0
2023-12-11 12:02:52,0,22.0,15.0,17.5,1.23,1.24,7.4,8.0
2023-12-11 12:02:53,0,23.0,15.0,17.5,1.23,1.24,7.4,8.0
2023-12-11 12:02:54,0,24.0,15.0,17.5,1.23,1.25,7.4,8.0
2023-12-11 12:02:55,0,25.0,15.0,17.0,1.23,1.25,7.4,8.0
2023-12-11 12:02:56,0,26.0,15.0,17.0,1.23,1.25,7.4,8.0
2023-12-11 12:02:57,0,27.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:02:58,0,28.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:02:59,0,29.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:00,0,30.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:01,0,31.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:02,0,32.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:03,0,33.0,15.0,17.0,1.24,1.25,7.2,7.8
2023-12-11 12:03:04,0,34.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:05,0,35.0,15.0,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:06,0,36.0,15.0,17.0,1.23,1.24,7.4,7.8
2023-12-11 12:03:07,0,37.0,15.5,17.0,1.23,1.24,7.4,7.8
2023-12-11 12:03:08,0,38.0,15.5,17.0,1.23,1.24,7.4,7.8
2023-12-11 12:03:09,0,39.0,15.5,17.0,1.23,1.24,7.4,7.8
2023-12-11 12:03:10,0,40.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:11,0,41.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:12,0,42.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:13,0,43.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:14,0,44.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:15,0,45.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:16,0,46.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:17,0,47.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:18,0,48.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:19,0,49.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:20,0,50.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:21,0,51.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:22,0,52.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:23,0,53.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:24,0,54.0,15.5,17.0,1.24,1.25,7.4,7.8
2023-12-11 12:03:25,0,55.0,15.5,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:26,0,56.0,15.5,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:27,0,57.0,15.5,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:28,0,58.0,15.5,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:29,0,59.0,15.5,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:30,1,60.0,16.0,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:31,1,61.0,16.0,17.5,1.24,1.25,7.2,7.8
2023-12-11 12:03:32,1,62.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:33,1,63.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:34,1,64.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:35,1,65.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:36,1,66.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:37,1,67.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:38,1,68.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:39,1,69.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:40,1,70.0,16.0,17.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:41,1,71.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:42,1,72.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:43,1,73.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:44,1,74.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:45,1,75.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:46,1,76.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:47,1,77.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:48,1,78.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:49,1,79.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:50,1,80.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:51,1,81.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:52,1,82.0,16.0,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:53,1,83.0,15.5,16.5,1.24,1.25,7.2,7.6
2023-12-11 12:03:54,1,84.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:55,1,85.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:56,1,86.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:57,1,87.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:58,1,88.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:03:59,1,89.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:00,1,90.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:01,1,91.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:02,1,92.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:03,1,93.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:04,1,94.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:05,1,95.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:06,1,96.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:07,1,97.0,16.5,17.0,1.24,1.25,7.2,7.6
2023-12-11 12:04:08,1,98.0,16.5,17.0,1.23,1.24,7.4,7.6
2023-12-11 12:04:09,1,99.0,16.5,17.0,1.23,1.24,7.4,7.6
2023-12-11 12:04:10,1,100.0,16.5,17.0,1.23,1.24,7.4,7.6
