0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2024-01-13 15:00:46,0,0.0,1.25,4.5,2.06,13.0,3.4,8.0
2024-01-13 15:00:47,0,1.0,1.25,4.5,2.06,13.0,3.4,8.0
2024-01-13 15:00:48,0,2.0,1.25,4.5,2.06,13.0,3.4,8.0
2024-01-13 15:00:49,0,3.0,1.25,4.5,2.06,13.0,3.4,8.0
2024-01-13 15:00:50,0,4.0,3.5,4.2,2.14,2.28,3.4,3.85
2024-01-13 15:00:51,0,5.0,3.5,4.2,2.14,2.28,3.4,3.85
2024-01-13 15:00:52,0,6.0,2.86,4.5,2.06,2.42,3.4,5.9
2024-01-13 15:00:53,0,7.0,2.86,4.5,2.06,2.42,3.4,5.9
2024-01-13 15:00:54,0,8.0,3.05,4.4,2.06,2.42,3.45,4.3
2024-01-13 15:00:55,0,9.0,3.05,4.4,2.06,2.42,3.45,4.3
2024-01-13 15:00:56,0,10.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:00:57,0,11.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:00:58,0,12.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:00:59,0,13.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:01:00,0,14.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:01:01,0,15.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:01:02,0,16.0,3.35,4.1,2.16,2.42,3.45,4.2
2024-01-13 15:01:03,0,17.0,3.4,4.1,2.16,2.36,3.45,3.95
2024-01-13 15:01:04,0,18.0,3.4,4.1,2.16,2.36,3.45,3.95
2024-01-13 15:01:05,0,19.0,3.4,4.1,2.16,2.36,3.45,3.95
2024-01-13 15:01:06,0,20.0,3.4,4.0,2.16,2.36,3.45,3.95
2024-01-13 15:01:07,0,21.0,3.4,3.9,2.22,2.36,3.45,3.95
2024-01-13 15:01:08,0,22.0,3.4,3.9,2.22,2.36,3.45,3.95
2024-01-13 15:01:09,0,23.0,3.45,3.9,2.22,2.36,3.45,3.9
2024-01-13 15:01:10,0,24.0,3.45,3.9,2.22,2.36,3.45,3.9
2024-01-13 15:01:11,0,25.0,3.45,3.9,2.22,2.36,3.45,3.9
2024-01-13 15:01:12,0,26.0,3.45,3.9,2.22,2.36,3.45,3.9
