0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2024-02-17 14:03:11,0,0.0,1.75,1.77,5.7,6.2,3.8,3.85
2024-02-17 14:03:12,0,1.0,1.75,1.77,5.7,6.2,3.8,3.85
2024-02-17 14:03:13,0,2.0,1.75,1.77,5.7,6.2,3.8,3.85
2024-02-17 14:03:14,0,3.0,1.75,1.77,5.7,6.2,3.8,3.85
2024-02-17 14:03:15,0,4.0,1.75,1.77,5.7,6.2,3.8,3.85
2024-02-17 14:03:16,0,5.0,1.74,1.77,5.7,6.0,3.9,4.1
2024-02-17 14:03:17,0,6.0,1.74,1.77,5.7,6.0,3.9,4.1
2024-02-17 14:03:18,0,7.0,1.73,1.77,5.7,6.0,3.9,4.1
2024-02-17 14:03:19,0,8.0,1.73,1.77,5.7,6.0,3.9,4.1
2024-02-17 14:03:20,0,9.0,1.73,1.77,5.8,6.0,3.8,4.1
2024-02-17 14:03:21,0,10.0,1.73,1.77,5.8,6.2,3.8,4.0
2024-02-17 14:03:22,0,11.0,1.73,1.77,5.8,6.2,3.8,4.0
2024-02-17 14:03:23,0,12.0,1.73,1.77,5.8,6.2,3.85,4.0
2024-02-17 14:03:24,0,13.0,1.73,1.77,5.8,6.2,3.85,4.0
2024-02-17 14:03:25,0,14.0,1.73,1.77,5.8,6.2,3.85,4.0
2024-02-17 14:03:26,0,15.0,1.73,1.75,6.0,6.2,3.85,3.9
2024-02-17 14:03:27,0,16.0,1.73,1.75,6.0,6.2,3.85,3.9
2024-02-17 14:03:28,0,17.0,1.73,1.75,6.0,6.2,3.85,3.9
2024-02-17 14:03:29,0,18.0,1.74,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:30,0,19.0,1.74,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:31,0,20.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:32,0,21.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:33,0,22.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:34,0,23.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:35,0,24.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:36,0,25.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:37,0,26.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:38,0,27.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:39,0,28.0,1.76,1.77,5.8,5.9,3.85,3.9
2024-02-17 14:03:40,0,29.0,1.75,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:41,0,30.0,1.75,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:42,0,31.0,1.75,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:43,0,32.0,1.75,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:44,0,33.0,1.75,1.77,5.8,6.0,3.85,3.9
2024-02-17 14:03:45,0,34.0,1.75,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:46,0,35.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:47,0,36.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:48,0,37.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:49,0,38.0,1.75,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:50,0,39.0,1.75,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:51,0,40.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:52,0,41.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:53,0,42.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:54,0,43.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:55,0,44.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:56,0,45.0,1.74,1.76,5.9,6.0,3.85,3.9
2024-02-17 14:03:57,0,46.0,1.74,1.76,5.9,6.0,3.85,3.9
