0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2024-02-17 12:00:04,0,0.0,2.44,2.46,2.96,3.0,3.9,3.95
2024-02-17 12:00:05,0,1.0,2.44,2.46,2.96,3.0,3.9,3.95
2024-02-17 12:00:06,0,2.0,2.44,2.46,2.96,3.0,3.9,3.95
2024-02-17 12:00:07,0,3.0,2.44,2.46,2.76,3.0,3.9,4.4
2024-02-17 12:00:08,0,4.0,2.44,2.46,2.76,3.0,3.9,4.4
2024-02-17 12:00:09,0,5.0,2.32,2.44,2.76,3.15,3.9,5.5
2024-02-17 12:00:10,0,6.0,2.32,2.44,2.14,3.15,3.9,8.0
2024-02-17 12:00:11,0,7.0,2.32,2.44,2.14,3.15,3.9,8.0
2024-02-17 12:00:12,0,8.0,2.26,2.44,2.9,3.15,3.9,4.8
2024-02-17 12:00:13,0,9.0,2.26,2.44,2.9,3.15,3.9,4.8
2024-02-17 12:00:14,0,10.0,2.26,2.44,2.9,3.15,3.9,4.8
2024-02-17 12:00:15,0,11.0,2.26,2.44,2.9,3.15,3.9,4.8
2024-02-17 12:00:16,0,12.0,2.32,2.44,2.98,3.1,3.9,4.3
2024-02-17 12:00:17,0,13.0,2.32,2.44,2.98,3.1,3.9,4.3
2024-02-17 12:00:18,0,14.0,2.32,2.44,2.98,3.1,3.9,4.3
2024-02-17 12:00:19,0,15.0,2.32,2.44,2.98,3.1,3.9,4.3
2024-02-17 12:00:20,0,16.0,2.32,2.44,2.98,3.1,3.9,4.3
2024-02-17 12:00:21,0,17.0,2.32,2.44,2.98,3.1,3.9,4.3
2024-02-17 12:00:22,0,18.0,2.38,2.46,2.98,3.1,3.9,4.1
2024-02-17 12:00:23,0,19.0,2.38,2.46,2.98,3.1,3.9,4.1
2024-02-17 12:00:24,0,20.0,2.38,2.48,2.98,3.15,3.85,4.1
2024-02-17 12:00:25,0,21.0,2.38,2.48,2.98,3.15,3.85,4.1
2024-02-17 12:00:26,0,22.0,2.38,2.48,2.98,3.15,3.85,4.1
2024-02-17 12:00:27,0,23.0,2.38,2.46,3.0,3.15,3.85,4.1
2024-02-17 12:00:28,0,24.0,2.38,2.46,3.0,3.15,3.85,4.1
2024-02-17 12:00:29,0,25.0,2.32,2.42,3.0,3.15,3.95,4.2
2024-02-17 12:00:30,0,26.0,2.32,2.42,3.0,3.15,3.95,4.2
2024-02-17 12:00:31,0,27.0,2.32,2.42,3.0,3.15,3.95,4.2
2024-02-17 12:00:32,0,28.0,2.32,2.42,3.0,3.15,3.95,4.2
