0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-08-19 18:31:08,0,0.0,6.8,8.2,1.46,1.49,5.2,5.4
2023-08-19 18:31:09,0,1.0,6.8,8.2,1.46,1.49,5.2,5.4
2023-08-19 18:31:10,0,2.0,6.8,8.2,1.46,1.49,5.2,5.4
2023-08-19 18:31:11,0,3.0,6.8,8.2,1.46,1.49,5.2,5.4
2023-08-19 18:31:12,0,4.0,7.1,8.2,1.46,1.48,5.2,5.4
2023-08-19 18:31:13,0,5.0,7.4,8.1,1.46,1.47,5.2,5.4
2023-08-19 18:31:14,0,6.0,7.1,8.2,1.46,1.48,5.2,5.4
2023-08-19 18:31:15,0,7.0,7.0,8.2,1.46,1.48,5.2,5.4
2023-08-19 18:31:16,0,8.0,7.0,7.8,1.46,1.48,5.25,5.4
2023-08-19 18:31:17,0,9.0,7.0,7.8,1.46,1.48,5.2,5.4
2023-08-19 18:31:18,0,10.0,7.4,7.8,1.47,1.48,5.2,5.4
2023-08-19 18:31:19,0,11.0,7.4,7.8,1.47,1.48,5.2,5.4
2023-08-19 18:31:20,0,12.0,7.4,7.8,1.47,1.48,5.2,5.4
2023-08-19 18:31:21,0,13.0,7.5,7.8,1.47,1.48,5.2,5.4
2023-08-19 18:31:22,0,14.0,7.6,7.8,1.46,1.48,5.2,5.4
2023-08-19 18:31:23,0,15.0,7.6,7.8,1.46,1.47,5.25,5.4
2023-08-19 18:31:24,0,16.0,7.6,7.8,1.45,1.46,5.3,5.4
2023-08-19 18:31:25,0,17.0,7.6,7.8,1.45,1.46,5.3,5.4
2023-08-19 18:31:26,0,18.0,7.6,7.8,1.47,1.48,5.2,5.4
2023-08-19 18:31:27,0,19.0,7.6,7.8,1.46,1.48,5.2,5.4
2023-08-19 18:31:28,0,20.0,7.6,7.8,1.46,1.48,5.2,5.4
2023-08-19 18:31:29,0,21.0,7.6,7.8,1.45,1.48,5.2,5.4
2023-08-19 18:31:30,0,22.0,7.6,7.8,1.45,1.47,5.2,5.4
2023-08-19 18:31:31,0,23.0,7.6,7.8,1.45,1.47,5.2,5.4
2023-08-19 18:31:32,0,24.0,7.6,7.8,1.45,1.47,5.2,5.4
2023-08-19 18:31:33,0,25.0,7.6,7.8,1.45,1.47,5.2,5.4
2023-08-19 18:31:34,0,26.0,7.6,7.8,1.46,1.47,5.2,5.4
2023-08-19 18:31:35,0,27.0,7.6,7.8,1.46,1.47,5.2,5.4
2023-08-19 18:31:36,0,28.0,7.5,7.8,1.46,1.47,5.2,5.4
