0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-21 15:01:46,0,0.0,2.24,3.1,2.22,3.05,3.3,4.4
2023-10-21 15:01:47,0,1.0,2.94,3.1,2.52,2.7,3.3,3.65
2023-10-21 15:01:48,0,2.0,2.94,3.1,2.52,2.7,3.3,3.65
2023-10-21 15:01:49,0,3.0,2.94,3.1,2.52,2.7,3.3,3.65
2023-10-21 15:01:50,0,4.0,3.0,3.1,2.52,2.62,3.4,3.65
2023-10-21 15:01:51,0,5.0,3.0,3.1,2.52,2.62,3.4,3.65
2023-10-21 15:01:52,0,6.0,3.0,3.1,2.54,2.62,3.4,3.65
2023-10-21 15:01:53,0,7.0,3.0,3.1,2.54,2.62,3.4,3.65
2023-10-21 15:01:54,0,8.0,3.0,3.1,2.54,2.62,3.4,3.65
2023-10-21 15:01:55,0,9.0,3.0,3.1,2.54,2.62,3.45,3.65
2023-10-21 15:01:56,0,10.0,3.0,3.1,2.54,2.62,3.45,3.65
2023-10-21 15:01:57,0,11.0,3.0,3.1,2.54,2.62,3.45,3.65
2023-10-21 15:01:58,0,12.0,3.0,3.1,2.54,2.62,3.45,3.65
2023-10-21 15:01:59,0,13.0,3.0,3.1,2.54,2.62,3.45,3.65
2023-10-21 15:02:00,0,14.0,2.96,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:01,0,15.0,2.96,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:02,0,16.0,2.98,3.1,2.54,2.64,3.45,3.7
2023-10-21 15:02:03,0,17.0,2.98,3.1,2.54,2.64,3.45,3.7
2023-10-21 15:02:04,0,18.0,2.98,3.1,2.54,2.64,3.45,3.7
2023-10-21 15:02:05,0,19.0,2.98,3.1,2.54,2.64,3.45,3.7
2023-10-21 15:02:06,0,20.0,2.98,3.1,2.54,2.64,3.45,3.7
2023-10-21 15:02:07,0,21.0,2.98,3.1,2.54,2.64,3.45,3.7
2023-10-21 15:02:08,0,22.0,3.0,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:09,0,23.0,3.0,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:10,0,24.0,2.98,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:11,0,25.0,2.98,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:12,0,26.0,2.98,3.1,2.54,2.64,3.45,3.65
2023-10-21 15:02:13,0,27.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:14,0,28.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:15,0,29.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:16,0,30.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:17,0,31.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:18,0,32.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:19,0,33.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:20,0,34.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:21,0,35.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:22,0,36.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:23,0,37.0,2.98,3.1,2.56,2.64,3.45,3.6
2023-10-21 15:02:24,0,38.0,3.0,3.1,2.58,2.66,3.35,3.6
2023-10-21 15:02:25,0,39.0,3.0,3.1,2.58,2.66,3.35,3.6
2023-10-21 15:02:26,0,40.0,3.0,3.1,2.58,2.64,3.35,3.6
2023-10-21 15:02:27,0,41.0,3.0,3.1,2.58,2.64,3.35,3.6
2023-10-21 15:02:28,0,42.0,3.0,3.1,2.58,2.64,3.35,3.6
2023-10-21 15:02:29,0,43.0,3.0,3.1,2.58,2.64,3.4,3.6
2023-10-21 15:02:30,0,44.0,3.0,3.1,2.58,2.64,3.4,3.6
2023-10-21 15:02:31,0,45.0,3.0,3.1,2.58,2.64,3.4,3.6
2023-10-21 15:02:32,0,46.0,2.98,3.1,2.58,2.64,3.4,3.6
2023-10-21 15:02:33,0,47.0,2.98,3.1,2.58,2.64,3.4,3.6
2023-10-21 15:02:34,0,48.0,2.98,3.1,2.58,2.64,3.4,3.6
2023-10-21 15:02:35,0,49.0,2.98,3.1,2.54,2.64,3.4,3.6
2023-10-21 15:02:36,0,50.0,2.98,3.1,2.54,2.64,3.4,3.6
2023-10-21 15:02:37,0,51.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:38,0,52.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:39,0,53.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:40,0,54.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:41,0,55.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:42,0,56.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:43,0,57.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:44,0,58.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:45,0,59.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:46,1,60.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:47,1,61.0,3.0,3.1,2.54,2.62,3.45,3.6
2023-10-21 15:02:48,1,62.0,3.0,3.15,2.54,2.6,3.45,3.6
2023-10-21 15:02:49,1,63.0,3.0,3.15,2.54,2.6,3.45,3.6
2023-10-21 15:02:50,1,64.0,3.0,3.15,2.54,2.6,3.45,3.6
2023-10-21 15:02:51,1,65.0,3.0,3.15,2.54,2.6,3.45,3.6
2023-10-21 15:02:52,1,66.0,3.05,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:53,1,67.0,3.05,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:54,1,68.0,3.05,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:55,1,69.0,3.1,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:56,1,70.0,3.1,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:57,1,71.0,3.1,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:58,1,72.0,3.05,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:02:59,1,73.0,3.05,3.15,2.54,2.6,3.4,3.55
2023-10-21 15:03:00,1,74.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:01,1,75.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:02,1,76.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:03,1,77.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:04,1,78.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:05,1,79.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:06,1,80.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:07,1,81.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:08,1,82.0,3.05,3.15,2.54,2.6,3.4,3.5
2023-10-21 15:03:09,1,83.0,3.05,3.2,2.54,2.6,3.4,3.6
2023-10-21 15:03:10,1,84.0,3.05,3.2,2.54,2.6,3.4,3.6
2023-10-21 15:03:11,1,85.0,3.05,3.2,2.54,2.6,3.4,3.6
2023-10-21 15:03:12,1,86.0,3.15,3.2,2.52,2.54,3.4,3.5
2023-10-21 15:03:13,1,87.0,3.15,3.2,2.52,2.54,3.4,3.5
2023-10-21 15:03:14,1,88.0,3.1,3.35,2.46,2.6,3.4,3.6
