0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-21 12:33:01,0,0.0,1.65,11.5,1.63,11.0,3.25,3.3
2023-10-21 12:33:02,0,1.0,1.65,11.5,1.63,11.0,3.25,3.3
2023-10-21 12:33:03,0,2.0,1.65,11.5,1.63,11.0,3.25,3.3
2023-10-21 12:33:04,0,3.0,1.65,11.5,1.63,11.0,3.25,3.3
2023-10-21 12:33:05,0,4.0,2.46,2.6,3.25,3.5,3.25,3.3
2023-10-21 12:33:06,0,5.0,2.46,2.6,3.25,3.5,3.25,3.3
2023-10-21 12:33:07,0,6.0,2.46,2.6,3.25,3.5,3.25,3.3
2023-10-21 12:33:08,0,7.0,2.46,2.56,3.25,3.5,3.25,3.3
2023-10-21 12:33:09,0,8.0,2.46,2.56,3.25,3.5,3.25,3.3
2023-10-21 12:33:10,0,9.0,2.46,2.56,3.25,3.5,3.25,3.3
2023-10-21 12:33:11,0,10.0,2.46,2.56,3.25,3.5,3.25,3.3
2023-10-21 12:33:12,0,11.0,2.46,2.56,3.25,3.5,3.25,3.3
2023-10-21 12:33:13,0,12.0,2.46,2.56,3.25,3.5,3.25,3.3
2023-10-21 12:33:14,0,13.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:15,0,14.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:16,0,15.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:17,0,16.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:18,0,17.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:19,0,18.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:20,0,19.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:21,0,20.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:22,0,21.0,2.48,2.56,3.25,3.45,3.25,3.3
2023-10-21 12:33:23,0,22.0,2.48,2.56,3.3,3.45,3.25,3.3
2023-10-21 12:33:24,0,23.0,2.48,2.56,3.3,3.45,3.25,3.3
2023-10-21 12:33:25,0,24.0,2.48,2.56,3.3,3.45,3.25,3.3
2023-10-21 12:33:26,0,25.0,2.5,2.58,3.3,3.5,3.2,3.3
2023-10-21 12:33:27,0,26.0,2.5,2.58,3.3,3.5,3.2,3.3
2023-10-21 12:33:28,0,27.0,2.5,2.58,3.3,3.5,3.2,3.3
2023-10-21 12:33:29,0,28.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:30,0,29.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:31,0,30.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:32,0,31.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:33,0,32.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:34,0,33.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:35,0,34.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:36,0,35.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:37,0,36.0,2.5,2.58,3.3,3.5,3.2,3.25
2023-10-21 12:33:38,0,37.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:39,0,38.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:40,0,39.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:41,0,40.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:42,0,41.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:43,0,42.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:44,0,43.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:45,0,44.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:46,0,45.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:47,0,46.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:48,0,47.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:49,0,48.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:50,0,49.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:51,0,50.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:52,0,51.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:53,0,52.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:54,0,53.0,2.5,2.58,3.3,3.45,3.2,3.25
2023-10-21 12:33:55,0,54.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:33:56,0,55.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:33:57,0,56.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:33:58,0,57.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:33:59,0,58.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:00,0,59.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:01,1,60.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:02,1,61.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:03,1,62.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:04,1,63.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:05,1,64.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:06,1,65.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:07,1,66.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:08,1,67.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:09,1,68.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:10,1,69.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:11,1,70.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:12,1,71.0,2.5,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:13,1,72.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:14,1,73.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:15,1,74.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:16,1,75.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:17,1,76.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:18,1,77.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:19,1,78.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:20,1,79.0,2.52,2.56,3.3,3.45,3.2,3.25
2023-10-21 12:34:21,1,80.0,2.5,2.56,3.35,3.45,3.2,3.25
2023-10-21 12:34:22,1,81.0,2.5,2.56,3.35,3.45,3.2,3.25
2023-10-21 12:34:23,1,82.0,2.5,2.56,3.35,3.45,3.2,3.25
2023-10-21 12:34:24,1,83.0,2.5,2.56,3.35,3.45,3.2,3.25
2023-10-21 12:34:25,1,84.0,2.5,2.56,3.35,3.45,3.2,3.25
2023-10-21 12:34:26,1,85.0,2.5,2.56,3.35,3.45,3.2,3.25
2023-10-21 12:34:27,1,86.0,2.5,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:28,1,87.0,2.5,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:29,1,88.0,2.5,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:30,1,89.0,2.48,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:31,1,90.0,2.48,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:32,1,91.0,2.48,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:33,1,92.0,2.48,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:34,1,93.0,2.48,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:35,1,94.0,2.48,2.54,3.35,3.45,3.2,3.25
2023-10-21 12:34:36,1,95.0,2.48,2.52,3.35,3.45,3.2,3.25
2023-10-21 12:34:37,1,96.0,2.48,2.52,3.35,3.45,3.2,3.25
2023-10-21 12:34:38,1,97.0,2.48,2.52,3.35,3.45,3.2,3.25
