0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-21 13:00:36,0,0.0,1.7,1.77,5.9,7.2,3.6,3.75
2023-10-21 13:00:37,0,1.0,1.7,1.72,6.2,7.2,3.6,3.75
2023-10-21 13:00:38,0,2.0,1.7,1.72,6.2,7.2,3.6,3.75
2023-10-21 13:00:39,0,3.0,1.7,1.72,6.2,7.2,3.6,3.75
2023-10-21 13:00:40,0,4.0,1.7,1.72,7.0,7.2,3.6,3.75
2023-10-21 13:00:41,0,5.0,1.7,1.72,7.0,7.2,3.6,3.75
2023-10-21 13:00:42,0,6.0,1.7,1.72,7.0,7.2,3.6,3.75
2023-10-21 13:00:43,0,7.0,1.71,1.73,7.0,7.2,3.6,3.7
2023-10-21 13:00:44,0,8.0,1.71,1.73,7.0,7.2,3.6,3.7
2023-10-21 13:00:45,0,9.0,1.71,1.73,7.0,7.2,3.6,3.7
2023-10-21 13:00:46,0,10.0,1.71,1.72,7.0,7.2,3.6,3.7
2023-10-21 13:00:47,0,11.0,1.71,1.72,7.0,7.2,3.6,3.7
2023-10-21 13:00:48,0,12.0,1.71,1.72,7.0,7.2,3.6,3.7
2023-10-21 13:00:49,0,13.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:50,0,14.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:51,0,15.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:52,0,16.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:53,0,17.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:54,0,18.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:55,0,19.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:56,0,20.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:57,0,21.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:58,0,22.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:00:59,0,23.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:00,0,24.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:01,0,25.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:02,0,26.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:03,0,27.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:04,0,28.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:05,0,29.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:06,0,30.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:07,0,31.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:08,0,32.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:09,0,33.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:10,0,34.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:11,0,35.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:12,0,36.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:13,0,37.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:14,0,38.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:15,0,39.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:16,0,40.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:17,0,41.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:18,0,42.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:19,0,43.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:20,0,44.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:21,0,45.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:22,0,46.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:23,0,47.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:24,0,48.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:25,0,49.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:26,0,50.0,1.7,1.71,7.0,7.2,3.6,3.65
2023-10-21 13:01:27,0,51.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:28,0,52.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:29,0,53.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:30,0,54.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:31,0,55.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:32,0,56.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:33,0,57.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:34,0,58.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:35,0,59.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:36,1,60.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:37,1,61.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:38,1,62.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:39,1,63.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:40,1,64.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:41,1,65.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:42,1,66.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:43,1,67.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:44,1,68.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:45,1,69.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:46,1,70.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:47,1,71.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:48,1,72.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:49,1,73.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:50,1,74.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:51,1,75.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:52,1,76.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:53,1,77.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:54,1,78.0,1.71,1.72,7.0,7.2,3.6,3.65
2023-10-21 13:01:55,1,79.0,1.71,1.72,7.0,7.2,3.6,3.65
