0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-21 14:30:17,0,0.0,1.54,2.72,2.98,14.5,3.4,3.5
2023-10-21 14:30:18,0,1.0,2.58,2.64,3.0,3.1,3.4,3.5
2023-10-21 14:30:19,0,2.0,2.58,2.64,3.0,3.1,3.4,3.5
2023-10-21 14:30:20,0,3.0,2.58,2.64,3.0,3.1,3.4,3.5
2023-10-21 14:30:21,0,4.0,2.58,2.64,3.0,3.1,3.4,3.5
2023-10-21 14:30:22,0,5.0,2.58,2.64,3.0,3.1,3.4,3.5
2023-10-21 14:30:23,0,6.0,2.58,2.64,3.0,3.1,3.4,3.5
2023-10-21 14:30:24,0,7.0,2.58,2.72,2.98,3.1,3.4,3.5
2023-10-21 14:30:25,0,8.0,2.58,2.72,2.98,3.1,3.4,3.5
2023-10-21 14:30:26,0,9.0,2.58,2.72,2.98,3.1,3.4,3.5
2023-10-21 14:30:27,0,10.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:28,0,11.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:29,0,12.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:30,0,13.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:31,0,14.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:32,0,15.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:33,0,16.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:34,0,17.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:35,0,18.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:36,0,19.0,2.66,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:37,0,20.0,2.68,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:38,0,21.0,2.68,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:39,0,22.0,2.68,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:40,0,23.0,2.68,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:41,0,24.0,2.68,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:42,0,25.0,2.68,2.74,2.94,2.98,3.4,3.5
2023-10-21 14:30:43,0,26.0,2.7,2.72,2.92,2.98,3.4,3.5
2023-10-21 14:30:44,0,27.0,2.7,2.72,2.92,2.98,3.4,3.5
2023-10-21 14:30:45,0,28.0,2.7,2.72,2.92,2.98,3.4,3.5
2023-10-21 14:30:46,0,29.0,2.7,2.72,2.92,2.96,3.4,3.5
2023-10-21 14:30:47,0,30.0,2.7,2.72,2.92,2.96,3.4,3.5
2023-10-21 14:30:48,0,31.0,2.7,2.72,2.92,2.96,3.4,3.5
2023-10-21 14:30:49,0,32.0,2.68,2.72,2.92,2.98,3.4,3.5
2023-10-21 14:30:50,0,33.0,2.68,2.72,2.92,2.98,3.4,3.5
2023-10-21 14:30:51,0,34.0,2.68,2.7,2.94,2.98,3.4,3.5
2023-10-21 14:30:52,0,35.0,2.68,2.7,2.94,2.98,3.4,3.5
2023-10-21 14:30:53,0,36.0,2.68,2.7,2.94,2.98,3.4,3.5
2023-10-21 14:30:54,0,37.0,2.66,2.72,2.94,3.05,3.4,3.5
2023-10-21 14:30:55,0,38.0,2.66,2.72,2.94,3.05,3.4,3.5
2023-10-21 14:30:56,0,39.0,2.66,2.72,2.94,3.05,3.4,3.5
2023-10-21 14:30:57,0,40.0,2.66,2.72,2.94,3.05,3.4,3.5
2023-10-21 14:30:58,0,41.0,2.66,2.72,2.94,3.05,3.4,3.5
2023-10-21 14:30:59,0,42.0,2.66,2.72,2.94,3.05,3.4,3.5
2023-10-21 14:31:00,0,43.0,2.6,2.72,2.94,3.1,3.4,3.45
2023-10-21 14:31:01,0,44.0,2.6,2.72,2.94,3.1,3.4,3.45
2023-10-21 14:31:02,0,45.0,2.6,2.7,2.96,3.05,3.45,3.5
2023-10-21 14:31:03,0,46.0,2.6,2.7,2.96,3.05,3.45,3.5
2023-10-21 14:31:04,0,47.0,2.6,2.7,2.96,3.05,3.45,3.5
2023-10-21 14:31:05,0,48.0,2.66,2.7,2.96,3.0,3.45,3.5
2023-10-21 14:31:06,0,49.0,2.66,2.7,2.96,3.0,3.45,3.5
2023-10-21 14:31:07,0,50.0,2.66,2.7,2.96,3.0,3.45,3.5
2023-10-21 14:31:08,0,51.0,2.66,2.7,2.96,3.05,3.4,3.45
2023-10-21 14:31:09,0,52.0,2.66,2.7,2.96,3.05,3.4,3.45
2023-10-21 14:31:10,0,53.0,2.66,2.7,2.96,3.05,3.4,3.45
2023-10-21 14:31:11,0,54.0,2.66,2.7,2.96,3.05,3.4,3.45
2023-10-21 14:31:12,0,55.0,2.66,2.7,2.96,3.05,3.4,3.45
2023-10-21 14:31:13,0,56.0,2.64,2.68,2.96,3.0,3.4,3.45
2023-10-21 14:31:14,0,57.0,2.64,2.68,2.96,3.0,3.4,3.45
2023-10-21 14:31:15,0,58.0,2.64,2.68,2.96,3.0,3.4,3.45
2023-10-21 14:31:16,0,59.0,2.68,2.7,2.96,2.98,3.4,3.45
2023-10-21 14:31:17,1,60.0,2.68,2.7,2.96,2.98,3.4,3.45
2023-10-21 14:31:18,1,61.0,2.68,2.7,2.96,2.98,3.4,3.45
2023-10-21 14:31:19,1,62.0,2.68,2.7,2.94,2.98,3.4,3.45
