0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-21 14:01:04,0,0.0,6.4,7.4,1.56,1.65,4.2,4.7
2023-10-21 14:01:05,0,1.0,6.4,7.4,1.59,1.65,4.2,4.7
2023-10-21 14:01:06,0,2.0,6.4,7.4,1.59,1.65,4.2,4.7
2023-10-21 14:01:07,0,3.0,6.4,7.4,1.59,1.65,4.2,4.7
2023-10-21 14:01:08,0,4.0,6.6,7.4,1.59,1.64,4.2,4.6
2023-10-21 14:01:09,0,5.0,6.6,7.4,1.59,1.64,4.2,4.6
2023-10-21 14:01:10,0,6.0,6.6,7.4,1.59,1.64,4.2,4.6
2023-10-21 14:01:11,0,7.0,6.6,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:12,0,8.0,6.6,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:13,0,9.0,6.6,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:14,0,10.0,6.8,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:15,0,11.0,6.8,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:16,0,12.0,6.8,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:17,0,13.0,6.6,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:18,0,14.0,6.6,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:19,0,15.0,6.6,7.0,1.64,1.65,4.1,4.2
2023-10-21 14:01:20,0,16.0,6.6,7.0,1.61,1.64,4.1,4.4
2023-10-21 14:01:21,0,17.0,6.6,7.0,1.61,1.64,4.1,4.4
2023-10-21 14:01:22,0,18.0,6.6,7.0,1.61,1.64,4.1,4.4
2023-10-21 14:01:23,0,19.0,6.6,6.8,1.61,1.64,4.1,4.4
2023-10-21 14:01:24,0,20.0,6.6,6.8,1.61,1.64,4.1,4.4
2023-10-21 14:01:25,0,21.0,6.6,6.8,1.61,1.64,4.1,4.4
2023-10-21 14:01:26,0,22.0,6.6,7.0,1.62,1.64,4.1,4.4
2023-10-21 14:01:27,0,23.0,6.6,7.0,1.62,1.64,4.1,4.4
2023-10-21 14:01:28,0,24.0,6.4,7.0,1.62,1.64,4.1,4.5
2023-10-21 14:01:29,0,25.0,6.4,7.0,1.62,1.64,4.1,4.5
2023-10-21 14:01:30,0,26.0,6.4,7.0,1.62,1.64,4.1,4.5
2023-10-21 14:01:31,0,27.0,6.6,7.0,1.62,1.64,4.1,4.4
2023-10-21 14:01:32,0,28.0,6.6,7.0,1.62,1.64,4.1,4.4
2023-10-21 14:01:33,0,29.0,6.6,7.0,1.62,1.64,4.1,4.4
2023-10-21 14:01:34,0,30.0,6.8,7.0,1.6,1.61,4.2,4.4
2023-10-21 14:01:35,0,31.0,6.8,7.0,1.6,1.61,4.2,4.4
2023-10-21 14:01:36,0,32.0,6.8,7.0,1.6,1.61,4.2,4.4
2023-10-21 14:01:37,0,33.0,6.4,7.0,1.6,1.63,4.3,4.5
2023-10-21 14:01:38,0,34.0,6.4,7.0,1.6,1.63,4.3,4.5
2023-10-21 14:01:39,0,35.0,6.4,7.0,1.6,1.63,4.3,4.5
2023-10-21 14:01:40,0,36.0,6.4,6.6,1.61,1.63,4.3,4.4
2023-10-21 14:01:41,0,37.0,6.4,6.6,1.61,1.63,4.3,4.4
2023-10-21 14:01:42,0,38.0,6.4,6.6,1.61,1.63,4.3,4.4
2023-10-21 14:01:43,0,39.0,6.0,6.4,1.61,1.62,4.4,4.6
2023-10-21 14:01:44,0,40.0,6.0,6.4,1.61,1.62,4.4,4.6
2023-10-21 14:01:45,0,41.0,6.0,6.4,1.61,1.62,4.4,4.6
2023-10-21 14:01:46,0,42.0,6.0,6.4,1.61,1.62,4.4,4.6
2023-10-21 14:01:47,0,43.0,6.0,6.4,1.61,1.62,4.4,4.6
2023-10-21 14:01:48,0,44.0,6.2,6.4,1.6,1.62,4.4,4.6
2023-10-21 14:01:49,0,45.0,6.2,6.4,1.6,1.62,4.4,4.6
2023-10-21 14:01:50,0,46.0,6.2,6.4,1.6,1.62,4.4,4.6
2023-10-21 14:01:51,0,47.0,5.9,6.0,1.64,1.65,4.4,4.6
2023-10-21 14:01:52,0,48.0,5.9,6.0,1.64,1.65,4.4,4.6
2023-10-21 14:01:53,0,49.0,5.9,6.0,1.64,1.65,4.4,4.6
2023-10-21 14:01:54,0,50.0,5.9,6.0,1.64,1.65,4.4,4.6
2023-10-21 14:01:55,0,51.0,5.9,6.0,1.64,1.65,4.4,4.6
2023-10-21 14:01:56,0,52.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:01:57,0,53.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:01:58,0,54.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:01:59,0,55.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:02:00,0,56.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:02:01,0,57.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:02:02,0,58.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:03,0,59.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:04,1,60.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:05,1,61.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:06,1,62.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:07,1,63.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:08,1,64.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:09,1,65.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:10,1,66.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:11,1,67.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:12,1,68.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:13,1,69.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:14,1,70.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:15,1,71.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:16,1,72.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:17,1,73.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:18,1,74.0,6.0,6.2,1.66,1.67,4.3,4.4
2023-10-21 14:02:19,1,75.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:02:20,1,76.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:02:21,1,77.0,6.0,6.2,1.65,1.66,4.3,4.4
2023-10-21 14:02:22,1,78.0,6.0,6.2,1.65,1.67,4.3,4.4
2023-10-21 14:02:23,1,79.0,6.0,6.2,1.65,1.67,4.3,4.4
