0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2024-02-26 02:10:41,0,0.0,3.3,5.64,1.83,2.22,4.1,39.2
2024-02-26 02:10:42,0,1.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:43,0,2.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:44,0,3.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:45,0,4.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:46,0,5.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:47,0,6.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:48,0,7.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:49,0,8.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:50,0,9.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:51,0,10.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:52,0,11.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:53,0,12.0,3.3,9.4,1.35,2.22,4.1,100.0
2024-02-26 02:10:54,0,13.0,3.34,6.29,1.74,2.2,4.1,50.0
2024-02-26 02:10:55,0,14.0,3.35,3.5,2.08,2.19,4.1,4.6
2024-02-26 02:10:56,0,15.0,3.35,3.5,2.08,2.18,4.1,4.6
2024-02-26 02:10:57,0,16.0,3.35,3.5,2.08,2.18,4.1,4.6
2024-02-26 02:10:58,0,17.0,3.35,3.5,2.08,2.18,4.1,4.6
2024-02-26 02:10:59,0,18.0,3.35,3.5,2.08,2.18,4.1,4.6
2024-02-26 02:11:00,0,19.0,3.35,3.5,2.08,2.16,4.1,4.6
2024-02-26 02:11:01,0,20.0,3.35,3.5,2.08,2.14,4.1,4.6
2024-02-26 02:11:02,0,21.0,3.35,3.5,2.08,2.14,4.1,4.6
2024-02-26 02:11:03,0,22.0,3.35,3.5,2.08,2.14,4.1,4.6
