0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-11-25 22:39:09,0,0.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:10,0,1.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:11,0,2.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:12,0,3.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:13,0,4.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:14,0,5.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:15,0,6.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:16,0,7.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:17,0,8.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:18,0,9.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:19,0,10.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:20,0,11.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:21,0,12.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:22,0,13.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:23,0,14.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:24,0,15.0,2.46,2.52,2.98,3.1,3.75,3.9
2023-11-25 22:39:25,0,16.0,2.46,2.52,2.98,3.09,3.76,3.9
2023-11-25 22:39:26,0,17.0,2.46,2.5,2.98,3.05,3.8,3.9
2023-11-25 22:39:27,0,18.0,2.46,2.5,2.98,3.05,3.8,3.9
2023-11-25 22:39:28,0,19.0,2.46,2.5,2.98,3.05,3.8,3.88
2023-11-25 22:39:29,0,20.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:30,0,21.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:31,0,22.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:32,0,23.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:33,0,24.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:34,0,25.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:35,0,26.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:36,0,27.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:37,0,28.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:38,0,29.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:39,0,30.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:40,0,31.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:41,0,32.0,2.46,2.5,2.98,3.05,3.8,3.85
2023-11-25 22:39:42,0,33.0,2.46,2.48,2.98,3.05,3.8,3.85
2023-11-25 22:39:43,0,34.0,2.46,2.48,2.98,3.05,3.79,3.86
2023-11-25 22:39:44,0,35.0,2.46,2.48,2.98,3.1,3.7,3.9
2023-11-25 22:39:45,0,36.0,2.46,2.48,2.98,3.1,3.7,3.9
2023-11-25 22:39:46,0,37.0,2.46,2.48,2.98,3.08,3.74,3.9
2023-11-25 22:39:47,0,38.0,2.46,2.48,2.98,3.0,3.85,3.9
2023-11-25 22:39:48,0,39.0,2.46,2.48,2.98,3.0,3.85,3.9
2023-11-25 22:39:49,0,40.0,2.46,2.48,2.98,3.05,3.78,3.9
2023-11-25 22:39:50,0,41.0,2.46,2.48,2.98,3.1,3.7,3.9
2023-11-25 22:39:51,0,42.0,2.46,2.48,2.98,3.1,3.7,3.9
2023-11-25 22:39:52,0,43.0,2.46,2.48,2.98,3.12,3.68,3.9
2023-11-25 22:39:53,0,44.0,2.46,2.48,2.98,3.15,3.65,3.9
2023-11-25 22:39:54,0,45.0,2.46,2.48,2.98,3.15,3.6,3.86
2023-11-25 22:39:55,0,46.0,2.46,2.48,2.98,3.15,3.6,3.85
2023-11-25 22:39:56,0,47.0,2.46,2.48,3.0,3.11,3.68,3.85
2023-11-25 22:39:57,0,48.0,2.46,2.48,3.0,3.14,3.62,3.85
2023-11-25 22:39:58,0,49.0,2.46,2.48,3.0,3.14,3.6,3.85
2023-11-25 22:39:59,0,50.0,2.46,2.48,3.0,3.1,3.6,3.85
2023-11-25 22:40:00,0,51.0,2.46,2.48,3.0,3.1,3.6,3.85
2023-11-25 22:40:01,0,52.0,2.46,2.48,3.0,3.08,3.75,3.85
2023-11-25 22:40:02,0,53.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:03,0,54.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:04,0,55.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:05,0,56.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:06,0,57.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:07,0,58.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:08,0,59.0,2.46,2.48,3.0,3.05,3.8,3.85
2023-11-25 22:40:09,1,60.0,2.46,2.48,3.0,3.06,3.76,3.84
2023-11-25 22:40:10,1,61.0,2.46,2.48,3.0,3.1,3.65,3.82
2023-11-25 22:40:11,1,62.0,2.46,2.48,3.0,3.1,3.65,3.85
2023-11-25 22:40:12,1,63.0,2.46,2.48,3.0,3.1,3.65,3.85
2023-11-25 22:40:13,1,64.0,2.46,2.48,3.0,3.1,3.65,3.85
2023-11-25 22:40:14,1,65.0,2.46,2.48,3.0,3.1,3.65,3.85
2023-11-25 22:40:15,1,66.0,2.46,2.48,3.0,3.1,3.65,3.85
2023-11-25 22:40:16,1,67.0,2.46,2.48,3.0,3.1,3.7,3.85
2023-11-25 22:40:17,1,68.0,2.46,2.48,3.0,3.1,3.7,3.85
2023-11-25 22:40:18,1,69.0,2.46,2.48,3.0,3.1,3.7,3.85
2023-11-25 22:40:19,1,70.0,2.46,2.48,3.0,3.1,3.7,3.85
2023-11-25 22:40:20,1,71.0,2.46,2.48,3.0,3.1,3.7,3.85
2023-11-25 22:40:21,1,72.0,2.46,2.48,3.0,3.1,3.7,3.85
2023-11-25 22:40:22,1,73.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:23,1,74.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:24,1,75.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:25,1,76.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:26,1,77.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:27,1,78.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:28,1,79.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:29,1,80.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:30,1,81.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:31,1,82.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:32,1,83.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:33,1,84.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:34,1,85.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:35,1,86.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:36,1,87.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:37,1,88.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:38,1,89.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:39,1,90.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:40,1,91.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:41,1,92.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:42,1,93.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:43,1,94.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:44,1,95.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:45,1,96.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:46,1,97.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:47,1,98.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:48,1,99.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:49,1,100.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:50,1,101.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:51,1,102.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:52,1,103.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:53,1,104.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:54,1,105.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:55,1,106.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:56,1,107.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:57,1,108.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:58,1,109.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:40:59,1,110.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:00,1,111.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:01,1,112.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:02,1,113.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:03,1,114.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:04,1,115.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:05,1,116.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:06,1,117.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:07,1,118.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:08,1,119.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:09,2,120.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:10,2,121.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:11,2,122.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:12,2,123.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:13,2,124.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:14,2,125.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:15,2,126.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:16,2,127.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:17,2,128.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:18,2,129.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:19,2,130.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:20,2,131.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:21,2,132.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:22,2,133.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:23,2,134.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:24,2,135.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:25,2,136.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:26,2,137.0,2.46,2.48,3.0,3.1,3.7,3.8
2023-11-25 22:41:27,2,138.0,2.46,2.48,3.0,3.1,3.65,3.8
2023-11-25 22:41:28,2,139.0,2.46,2.48,3.0,3.1,3.65,3.8
2023-11-25 22:41:29,2,140.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:30,2,141.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:31,2,142.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:32,2,143.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:33,2,144.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:34,2,145.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:35,2,146.0,2.46,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:41:36,2,147.0,2.46,2.5,3.05,3.1,3.65,3.8
2023-11-25 22:41:37,2,148.0,2.46,2.5,3.05,3.1,3.65,3.8
2023-11-25 22:41:38,2,149.0,2.46,2.5,3.05,3.1,3.65,3.8
2023-11-25 22:41:39,2,150.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:41:40,2,151.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:41:41,2,152.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:41:42,2,153.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:41:43,2,154.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:41:44,2,155.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:45,2,156.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:46,2,157.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:47,2,158.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:48,2,159.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:49,2,160.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:50,2,161.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:51,2,162.0,2.46,2.48,3.0,3.1,3.65,3.75
2023-11-25 22:41:52,2,163.0,2.46,2.48,3.0,3.1,3.65,3.75
2023-11-25 22:41:53,2,164.0,2.46,2.48,3.0,3.1,3.65,3.75
2023-11-25 22:41:54,2,165.0,2.46,2.48,3.0,3.1,3.65,3.75
2023-11-25 22:41:55,2,166.0,2.46,2.48,3.0,3.1,3.65,3.75
2023-11-25 22:41:56,2,167.0,2.47,2.49,3.0,3.1,3.65,3.75
2023-11-25 22:41:57,2,168.0,2.48,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:58,2,169.0,2.48,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:41:59,2,170.0,2.48,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:42:00,2,171.0,2.48,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:42:01,2,172.0,2.48,2.52,3.0,3.1,3.65,3.75
2023-11-25 22:42:02,2,173.0,2.48,2.52,3.0,3.1,3.65,3.75
2023-11-25 22:42:03,2,174.0,2.48,2.52,3.02,3.1,3.65,3.75
2023-11-25 22:42:04,2,175.0,2.48,2.52,3.05,3.1,3.65,3.75
2023-11-25 22:42:05,2,176.0,2.48,2.52,3.05,3.1,3.65,3.75
2023-11-25 22:42:06,2,177.0,2.48,2.52,3.05,3.1,3.65,3.75
2023-11-25 22:42:07,2,178.0,2.48,2.52,3.05,3.1,3.65,3.75
2023-11-25 22:42:08,2,179.0,2.46,2.52,3.05,3.1,3.65,3.75
2023-11-25 22:42:09,3,180.0,2.47,2.51,3.05,3.1,3.65,3.75
2023-11-25 22:42:10,3,181.0,2.48,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:42:11,3,182.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:42:12,3,183.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:42:13,3,184.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:42:14,3,185.0,2.46,2.5,3.05,3.1,3.65,3.75
2023-11-25 22:42:15,3,186.0,2.46,2.5,3.04,3.1,3.65,3.75
2023-11-25 22:42:16,3,187.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:42:17,3,188.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:42:18,3,189.0,2.46,2.5,3.0,3.1,3.65,3.75
2023-11-25 22:42:19,3,190.0,2.46,2.5,3.0,3.1,3.73,3.79
2023-11-25 22:42:20,3,191.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:21,3,192.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:22,3,193.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:23,3,194.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:24,3,195.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:25,3,196.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:26,3,197.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:27,3,198.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:28,3,199.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:29,3,200.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:30,3,201.0,2.46,2.5,3.0,3.1,3.75,3.8
2023-11-25 22:42:31,3,202.0,2.48,2.5,3.0,3.1,3.68,3.8
2023-11-25 22:42:32,3,203.0,2.48,2.5,3.0,3.1,3.65,3.8
2023-11-25 22:42:33,3,204.0,2.48,2.5,3.0,3.05,3.75,3.8
2023-11-25 22:42:34,3,205.0,2.48,2.5,3.0,3.05,3.75,3.8
2023-11-25 22:42:35,3,206.0,2.48,2.5,3.0,3.05,3.75,3.8
2023-11-25 22:42:36,3,207.0,2.48,2.5,3.0,3.05,3.75,3.8
2023-11-25 22:42:37,3,208.0,2.48,2.5,3.0,3.09,3.71,3.8
2023-11-25 22:42:38,3,209.0,2.48,2.5,3.0,3.1,3.7,3.8
2023-11-25 22:42:39,3,210.0,2.48,2.5,3.0,3.1,3.7,3.8
2023-11-25 22:42:40,3,211.0,2.48,2.5,3.0,3.1,3.7,3.79
2023-11-25 22:42:41,3,212.0,2.48,2.5,3.0,3.1,3.7,3.8
2023-11-25 22:42:42,3,213.0,2.48,2.5,3.0,3.1,3.7,3.8
2023-11-25 22:42:43,3,214.0,2.48,2.51,3.0,3.1,3.7,3.8
2023-11-25 22:42:44,3,215.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:45,3,216.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:46,3,217.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:47,3,218.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:48,3,219.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:49,3,220.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:50,3,221.0,2.48,2.52,3.0,3.1,3.7,3.8
2023-11-25 22:42:51,3,222.0,2.48,2.52,3.0,3.1,3.7,3.79
2023-11-25 22:42:52,3,223.0,2.48,2.5,3.05,3.1,3.7,3.75
2023-11-25 22:42:53,3,224.0,2.48,2.5,3.05,3.1,3.7,3.75
2023-11-25 22:42:54,3,225.0,2.46,2.5,3.05,3.1,3.7,3.75
2023-11-25 22:42:55,3,226.0,2.46,2.5,3.05,3.1,3.7,3.75
2023-11-25 22:42:56,3,227.0,2.46,2.48,3.05,3.1,3.7,3.75
2023-11-25 22:42:57,3,228.0,2.46,2.48,3.05,3.1,3.7,3.75
2023-11-25 22:42:58,3,229.0,2.46,2.48,3.05,3.1,3.7,3.75
2023-11-25 22:42:59,3,230.0,2.46,2.48,3.05,3.1,3.7,3.75
2023-11-25 22:43:00,3,231.0,2.46,2.5,3.05,3.1,3.7,3.75
2023-11-25 22:43:01,3,232.0,2.46,2.5,3.05,3.1,3.7,3.75
