0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-11-25 18:05:34,0,0.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:35,0,1.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:36,0,2.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:37,0,3.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:38,0,4.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:39,0,5.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:40,0,6.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:41,0,7.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:42,0,8.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:43,0,9.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:44,0,10.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:45,0,11.0,3.3,670.0,1.37,1.91,3.85,4.1
2023-11-25 18:05:46,0,12.0,3.88,5.6,1.74,1.91,3.85,4.1
2023-11-25 18:05:47,0,13.0,4.3,5.1,1.8,1.91,3.85,4.1
2023-11-25 18:05:48,0,14.0,4.3,5.1,1.8,1.91,3.85,4.1
2023-11-25 18:05:49,0,15.0,4.3,5.1,1.8,1.91,3.85,4.1
2023-11-25 18:05:50,0,16.0,4.3,5.1,1.8,1.91,3.85,4.1
2023-11-25 18:05:51,0,17.0,4.3,5.1,1.8,1.91,3.85,4.1
2023-11-25 18:05:52,0,18.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:53,0,19.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:54,0,20.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:55,0,21.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:56,0,22.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:57,0,23.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:58,0,24.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:05:59,0,25.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:06:00,0,26.0,4.3,5.1,1.81,1.91,3.85,4.1
2023-11-25 18:06:01,0,27.0,4.4,5.05,1.81,1.91,3.85,4.1
2023-11-25 18:06:02,0,28.0,4.3,5.0,1.81,1.91,3.9,4.1
2023-11-25 18:06:03,0,29.0,4.3,5.0,1.81,1.91,3.9,4.1
2023-11-25 18:06:04,0,30.0,4.4,5.0,1.81,1.91,3.85,4.1
2023-11-25 18:06:05,0,31.0,4.4,5.0,1.81,1.91,3.85,4.1
2023-11-25 18:06:06,0,32.0,4.4,5.0,1.81,1.91,3.85,4.1
2023-11-25 18:06:07,0,33.0,4.4,5.0,1.81,1.91,3.85,4.1
2023-11-25 18:06:08,0,34.0,4.4,5.0,1.81,1.91,3.85,4.1
2023-11-25 18:06:09,0,35.0,4.4,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:10,0,36.0,4.4,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:11,0,37.0,4.4,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:12,0,38.0,4.4,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:13,0,39.0,4.4,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:14,0,40.0,4.4,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:15,0,41.0,4.5,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:16,0,42.0,4.5,5.0,1.82,1.91,3.85,4.1
2023-11-25 18:06:17,0,43.0,4.5,5.0,1.82,1.91,3.9,4.1
2023-11-25 18:06:18,0,44.0,4.5,5.0,1.82,1.91,3.9,4.1
2023-11-25 18:06:19,0,45.0,4.5,5.0,1.82,1.91,3.9,4.1
2023-11-25 18:06:20,0,46.0,4.5,5.0,1.82,1.91,3.9,4.1
2023-11-25 18:06:21,0,47.0,4.5,5.0,1.83,1.91,3.85,3.9
2023-11-25 18:06:22,0,48.0,4.5,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:23,0,49.0,4.5,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:24,0,50.0,4.5,4.9,1.85,1.88,3.85,3.9
2023-11-25 18:06:25,0,51.0,4.5,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:26,0,52.0,4.5,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:27,0,53.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:28,0,54.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:29,0,55.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:30,0,56.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:31,0,57.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:32,0,58.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:33,0,59.0,4.6,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:34,1,60.0,4.65,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:35,1,61.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:36,1,62.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:37,1,63.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:38,1,64.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:39,1,65.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:40,1,66.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:41,1,67.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:42,1,68.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:43,1,69.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:44,1,70.0,4.7,5.0,1.84,1.88,3.85,3.9
2023-11-25 18:06:45,1,71.0,4.7,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:46,1,72.0,4.7,5.0,1.84,1.88,3.85,3.9
2023-11-25 18:06:47,1,73.0,4.7,5.0,1.84,1.88,3.85,3.9
2023-11-25 18:06:48,1,74.0,4.7,5.0,1.84,1.88,3.85,3.9
2023-11-25 18:06:49,1,75.0,4.8,5.0,1.84,1.88,3.85,3.9
2023-11-25 18:06:50,1,76.0,4.8,5.0,1.84,1.88,3.85,3.9
2023-11-25 18:06:51,1,77.0,4.8,5.0,1.83,1.88,3.85,3.9
2023-11-25 18:06:52,1,78.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:53,1,79.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:54,1,80.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:55,1,81.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:56,1,82.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:57,1,83.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:58,1,84.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:06:59,1,85.0,4.8,5.0,1.83,1.87,3.85,3.9
2023-11-25 18:07:00,1,86.0,4.7,4.9,1.85,1.87,3.85,3.9
2023-11-25 18:07:01,1,87.0,4.7,4.9,1.85,1.87,3.85,3.9
2023-11-25 18:07:02,1,88.0,4.7,4.9,1.85,1.87,3.85,3.9
2023-11-25 18:07:03,1,89.0,4.7,4.9,1.85,1.87,3.85,3.9
2023-11-25 18:07:04,1,90.0,4.7,4.9,1.85,1.87,3.85,3.9
2023-11-25 18:07:05,1,91.0,4.7,4.9,1.85,1.87,3.85,3.9
2023-11-25 18:07:06,1,92.0,4.7,4.9,1.85,1.87,3.85,3.9
