0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-10-28 17:30:20,0,0.0,4.3,4.4,1.91,1.95,3.9,4.0
2023-10-28 17:30:21,0,1.0,4.3,4.4,1.92,1.95,3.9,4.0
2023-10-28 17:30:22,0,2.0,4.3,4.4,1.92,1.95,3.9,4.0
2023-10-28 17:30:23,0,3.0,4.3,4.4,1.92,1.95,3.9,4.0
2023-10-28 17:30:24,0,4.0,4.3,4.4,1.92,1.93,3.9,4.0
2023-10-28 17:30:25,0,5.0,4.3,4.4,1.92,1.93,3.9,4.0
2023-10-28 17:30:26,0,6.0,4.3,4.4,1.92,1.93,3.9,4.0
2023-10-28 17:30:27,0,7.0,4.3,4.4,1.91,1.92,3.95,4.0
2023-10-28 17:30:28,0,8.0,4.3,4.4,1.91,1.92,3.95,4.0
2023-10-28 17:30:29,0,9.0,4.3,4.4,1.91,1.92,3.95,4.0
2023-10-28 17:30:30,0,10.0,4.3,4.4,1.91,1.93,3.95,4.0
2023-10-28 17:30:31,0,11.0,4.3,4.4,1.91,1.93,3.95,4.0
2023-10-28 17:30:32,0,12.0,4.3,4.4,1.91,1.93,3.95,4.0
2023-10-28 17:30:33,0,13.0,4.3,4.4,1.92,1.94,3.95,4.1
2023-10-28 17:30:34,0,14.0,4.3,4.4,1.92,1.94,3.95,4.1
2023-10-28 17:30:35,0,15.0,4.3,4.4,1.92,1.94,3.95,4.1
2023-10-28 17:30:36,0,16.0,4.2,4.4,1.91,1.92,3.95,4.1
2023-10-28 17:30:37,0,17.0,4.2,4.4,1.91,1.92,3.95,4.1
2023-10-28 17:30:38,0,18.0,4.2,4.4,1.91,1.92,3.95,4.1
2023-10-28 17:30:39,0,19.0,4.2,4.3,1.92,1.95,3.95,4.1
2023-10-28 17:30:40,0,20.0,4.2,4.3,1.92,1.95,3.95,4.1
2023-10-28 17:30:41,0,21.0,4.2,4.3,1.92,1.95,3.95,4.1
2023-10-28 17:30:42,0,22.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:43,0,23.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:44,0,24.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:45,0,25.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:46,0,26.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:47,0,27.0,4.2,4.3,1.94,1.95,3.95,4.0
2023-10-28 17:30:48,0,28.0,4.2,4.3,1.94,1.95,3.95,4.0
2023-10-28 17:30:49,0,29.0,4.2,4.3,1.94,1.95,3.95,4.0
2023-10-28 17:30:50,0,30.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:51,0,31.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:52,0,32.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:53,0,33.0,4.2,4.3,1.94,1.95,3.95,4.0
2023-10-28 17:30:54,0,34.0,4.2,4.3,1.94,1.95,3.95,4.0
2023-10-28 17:30:55,0,35.0,4.2,4.3,1.94,1.95,3.95,4.0
2023-10-28 17:30:56,0,36.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:57,0,37.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:58,0,38.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:30:59,0,39.0,4.3,4.4,1.93,1.95,3.95,4.0
2023-10-28 17:31:00,0,40.0,4.3,4.4,1.93,1.95,3.95,4.0
2023-10-28 17:31:01,0,41.0,4.3,4.4,1.93,1.95,3.95,4.0
2023-10-28 17:31:02,0,42.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:31:03,0,43.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:31:04,0,44.0,4.2,4.3,1.93,1.95,3.95,4.0
2023-10-28 17:31:05,0,45.0,4.2,4.4,1.92,1.94,3.95,4.0
2023-10-28 17:31:06,0,46.0,4.2,4.4,1.92,1.94,3.95,4.0
2023-10-28 17:31:07,0,47.0,4.2,4.4,1.92,1.94,3.95,4.0
2023-10-28 17:31:08,0,48.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:09,0,49.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:10,0,50.0,4.3,4.4,1.92,1.94,3.95,4.0
2023-10-28 17:31:11,0,51.0,4.3,4.4,1.92,1.94,3.95,4.0
2023-10-28 17:31:12,0,52.0,4.3,4.4,1.92,1.94,3.95,4.0
2023-10-28 17:31:13,0,53.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:14,0,54.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:15,0,55.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:16,0,56.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:17,0,57.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:18,0,58.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:19,0,59.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:20,1,60.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:21,1,61.0,4.3,4.4,1.93,1.94,3.95,4.0
2023-10-28 17:31:22,1,62.0,4.3,4.4,1.92,1.94,3.9,3.95
2023-10-28 17:31:23,1,63.0,4.3,4.4,1.92,1.94,3.9,3.95
2023-10-28 17:31:24,1,64.0,4.3,4.4,1.92,1.94,3.9,3.95
2023-10-28 17:31:25,1,65.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:26,1,66.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:27,1,67.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:28,1,68.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:29,1,69.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:30,1,70.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:31,1,71.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:32,1,72.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:33,1,73.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:34,1,74.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:35,1,75.0,4.3,4.4,1.93,1.94,3.9,3.95
2023-10-28 17:31:36,1,76.0,4.3,4.4,1.92,1.93,3.9,3.95
2023-10-28 17:31:37,1,77.0,4.3,4.4,1.92,1.93,3.9,3.95
