0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-11-28 20:01:58,0,0.0,1.48,1.5,8.2,8.8,4.8,5.0
2023-11-28 20:01:59,0,1.0,1.48,1.5,8.2,8.8,4.8,5.0
2023-11-28 20:02:00,0,2.0,1.48,1.5,8.2,8.8,4.8,5.0
2023-11-28 20:02:01,0,3.0,1.48,1.5,8.2,8.8,4.8,5.0
2023-11-28 20:02:02,0,4.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:03,0,5.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:04,0,6.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:05,0,7.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:06,0,8.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:07,0,9.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:08,0,10.0,1.48,1.49,8.2,8.8,4.9,5.0
2023-11-28 20:02:09,0,11.0,1.48,1.49,8.2,8.8,4.9,5.0
2023-11-28 20:02:10,0,12.0,1.48,1.49,8.4,8.8,4.8,4.9
2023-11-28 20:02:11,0,13.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:12,0,14.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:13,0,15.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:14,0,16.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:15,0,17.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:16,0,18.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:17,0,19.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:18,0,20.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:19,0,21.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:20,0,22.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:21,0,23.0,1.49,1.5,8.2,8.4,4.8,4.9
2023-11-28 20:02:22,0,24.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:23,0,25.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:24,0,26.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:25,0,27.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:26,0,28.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:27,0,29.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:28,0,30.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:29,0,31.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:30,0,32.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:31,0,33.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:32,0,34.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:33,0,35.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:34,0,36.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:35,0,37.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:36,0,38.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:37,0,39.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:38,0,40.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:39,0,41.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:40,0,42.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:41,0,43.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:42,0,44.0,1.48,1.49,8.4,8.6,4.8,4.9
2023-11-28 20:02:43,0,45.0,1.48,1.49,8.2,8.6,4.8,4.9
2023-11-28 20:02:44,0,46.0,1.48,1.49,8.2,8.6,4.8,4.9
2023-11-28 20:02:45,0,47.0,1.48,1.49,8.2,8.6,4.8,4.9
2023-11-28 20:02:46,0,48.0,1.48,1.49,8.2,8.6,4.8,4.9
2023-11-28 20:02:47,0,49.0,1.48,1.49,8.2,8.6,4.8,4.9
2023-11-28 20:02:48,0,50.0,1.48,1.49,8.2,8.4,4.8,5.0
2023-11-28 20:02:49,0,51.0,1.48,1.49,8.2,8.6,4.8,5.0
2023-11-28 20:02:50,0,52.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:51,0,53.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:52,0,54.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:53,0,55.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:54,0,56.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:55,0,57.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:56,0,58.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:57,0,59.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:58,1,60.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:02:59,1,61.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:03:00,1,62.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:03:01,1,63.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:03:02,1,64.0,1.48,1.49,8.2,8.4,4.9,5.0
2023-11-28 20:03:03,1,65.0,1.48,1.49,8.0,8.2,4.9,5.0
2023-11-28 20:03:04,1,66.0,1.48,1.49,8.0,8.2,4.9,5.0
2023-11-28 20:03:05,1,67.0,1.48,1.49,8.0,8.2,4.9,5.0
