0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-11-28 19:46:45,0,0.0,1.57,2.82,3.0,19.0,3.1,3.2
2023-11-28 19:46:46,0,1.0,1.57,2.82,3.0,19.0,3.1,3.2
2023-11-28 19:46:47,0,2.0,1.57,2.82,3.0,19.0,3.1,3.2
2023-11-28 19:46:48,0,3.0,1.57,2.82,3.0,19.0,3.1,3.2
2023-11-28 19:46:49,0,4.0,2.68,2.8,3.05,3.25,3.1,3.2
2023-11-28 19:46:50,0,5.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:51,0,6.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:52,0,7.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:53,0,8.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:54,0,9.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:55,0,10.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:56,0,11.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:57,0,12.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:58,0,13.0,2.68,2.78,3.1,3.25,3.1,3.2
2023-11-28 19:46:59,0,14.0,2.68,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:00,0,15.0,2.68,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:01,0,16.0,2.68,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:02,0,17.0,2.68,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:03,0,18.0,2.68,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:04,0,19.0,2.66,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:05,0,20.0,2.66,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:06,0,21.0,2.66,2.78,3.1,3.2,3.1,3.2
2023-11-28 19:47:07,0,22.0,2.6,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:08,0,23.0,2.6,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:09,0,24.0,2.6,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:10,0,25.0,2.6,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:11,0,26.0,2.56,2.78,3.1,3.4,3.1,3.2
2023-11-28 19:47:12,0,27.0,2.56,2.78,3.1,3.4,3.1,3.2
2023-11-28 19:47:13,0,28.0,2.56,2.78,3.1,3.4,3.1,3.2
2023-11-28 19:47:14,0,29.0,2.56,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:15,0,30.0,2.56,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:16,0,31.0,2.56,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:17,0,32.0,2.56,2.78,3.1,3.35,3.1,3.2
2023-11-28 19:47:18,0,33.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:19,0,34.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:20,0,35.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:21,0,36.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:22,0,37.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:23,0,38.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:24,0,39.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:25,0,40.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:26,0,41.0,2.56,2.76,3.1,3.35,3.1,3.2
2023-11-28 19:47:27,0,42.0,2.56,2.76,3.15,3.35,3.1,3.2
2023-11-28 19:47:28,0,43.0,2.58,2.76,3.15,3.35,3.1,3.2
2023-11-28 19:47:29,0,44.0,2.58,2.76,3.15,3.35,3.1,3.2
2023-11-28 19:47:30,0,45.0,2.58,2.74,3.15,3.35,3.1,3.2
2023-11-28 19:47:31,0,46.0,2.58,2.74,3.15,3.35,3.1,3.2
2023-11-28 19:47:32,0,47.0,2.66,2.74,3.15,3.2,3.1,3.2
2023-11-28 19:47:33,0,48.0,2.66,2.74,3.15,3.2,3.1,3.2
2023-11-28 19:47:34,0,49.0,2.66,2.74,3.15,3.2,3.1,3.2
2023-11-28 19:47:35,0,50.0,2.7,2.74,3.15,3.2,3.1,3.15
2023-11-28 19:47:36,0,51.0,2.7,2.74,3.15,3.2,3.1,3.15
2023-11-28 19:47:37,0,52.0,2.7,2.74,3.1,3.2,3.1,3.15
2023-11-28 19:47:38,0,53.0,2.7,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:39,0,54.0,2.7,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:40,0,55.0,2.62,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:41,0,56.0,2.62,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:42,0,57.0,2.66,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:43,0,58.0,2.62,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:44,0,59.0,2.62,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:45,1,60.0,2.62,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:46,1,61.0,2.62,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:47,1,62.0,2.66,2.76,3.1,3.25,3.1,3.15
2023-11-28 19:47:48,1,63.0,2.66,2.76,3.1,3.25,3.1,3.15
2023-11-28 19:47:49,1,64.0,2.66,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:50,1,65.0,2.64,2.76,3.1,3.3,3.1,3.15
2023-11-28 19:47:51,1,66.0,2.74,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:52,1,67.0,2.74,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:53,1,68.0,2.7,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:54,1,69.0,2.7,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:55,1,70.0,2.7,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:56,1,71.0,2.72,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:57,1,72.0,2.7,2.76,3.1,3.2,3.1,3.15
2023-11-28 19:47:58,1,73.0,2.7,2.74,3.1,3.2,3.1,3.15
2023-11-28 19:47:59,1,74.0,2.74,2.76,3.1,3.15,3.1,3.15
2023-11-28 19:48:00,1,75.0,2.74,2.76,3.1,3.15,3.1,3.15
2023-11-28 19:48:01,1,76.0,2.76,2.78,3.1,3.15,3.1,3.15
2023-11-28 19:48:02,1,77.0,2.68,2.74,3.1,3.15,3.15,3.25
2023-11-28 19:48:03,1,78.0,2.7,2.74,3.1,3.15,3.15,3.25
2023-11-28 19:48:04,1,79.0,2.7,2.74,3.05,3.15,3.15,3.25
2023-11-28 19:48:05,1,80.0,2.7,2.74,3.05,3.15,3.15,3.25
2023-11-28 19:48:06,1,81.0,2.7,2.74,3.05,3.15,3.15,3.25
2023-11-28 19:48:07,1,82.0,2.7,2.74,3.1,3.15,3.15,3.25
2023-11-28 19:48:08,1,83.0,2.7,2.74,3.1,3.15,3.15,3.25
2023-11-28 19:48:09,1,84.0,2.72,2.74,3.1,3.15,3.15,3.2
