0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-11-30 23:29:28,0,0.0,1.87,1.9,4.8,5.0,3.8,3.9
2023-11-30 23:29:29,0,1.0,1.4,1.9,4.8,28.0,3.8,4.0
2023-11-30 23:29:30,0,2.0,1.4,1.9,4.8,28.0,3.8,4.0
2023-11-30 23:29:31,0,3.0,1.4,1.9,4.8,28.0,3.8,4.0
2023-11-30 23:29:32,0,4.0,1.4,1.9,4.8,28.0,3.8,4.0
2023-11-30 23:29:33,0,5.0,1.4,1.9,4.8,28.0,3.8,4.0
2023-11-30 23:29:34,0,6.0,1.86,1.88,4.8,5.08,3.8,3.94
2023-11-30 23:29:35,0,7.0,1.86,1.88,4.8,5.1,3.8,3.95
2023-11-30 23:29:36,0,8.0,1.86,1.88,4.8,5.02,3.84,3.95
2023-11-30 23:29:37,0,9.0,1.86,1.88,4.8,5.0,3.85,3.95
2023-11-30 23:29:38,0,10.0,1.86,1.88,4.8,5.0,3.85,3.95
2023-11-30 23:29:39,0,11.0,1.86,1.88,4.8,5.0,3.85,3.95
2023-11-30 23:29:40,0,12.0,1.86,1.88,4.8,5.0,3.85,3.95
2023-11-30 23:29:41,0,13.0,1.8,1.88,4.8,5.45,3.85,4.0
2023-11-30 23:29:42,0,14.0,1.83,1.88,4.8,5.1,3.85,4.0
2023-11-30 23:29:43,0,15.0,1.83,1.88,4.8,5.1,3.85,4.0
2023-11-30 23:29:44,0,16.0,1.84,1.88,4.8,5.1,3.85,4.0
2023-11-30 23:29:45,0,17.0,1.84,1.88,4.8,5.09,3.86,4.0
2023-11-30 23:29:46,0,18.0,1.84,1.87,4.8,5.04,3.9,4.0
2023-11-30 23:29:47,0,19.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:48,0,20.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:49,0,21.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:50,0,22.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:51,0,23.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:52,0,24.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:53,0,25.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:54,0,26.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:55,0,27.0,1.84,1.87,4.8,5.0,3.9,4.0
2023-11-30 23:29:56,0,28.0,1.84,1.87,4.8,5.0,3.89,4.0
2023-11-30 23:29:57,0,29.0,1.84,1.87,4.8,5.0,3.85,4.0
2023-11-30 23:29:58,0,30.0,1.84,1.86,4.8,5.0,3.85,4.0
2023-11-30 23:29:59,0,31.0,1.85,1.86,4.8,5.0,3.85,4.0
2023-11-30 23:30:00,0,32.0,1.85,1.87,4.8,5.0,3.85,4.0
2023-11-30 23:30:01,0,33.0,1.85,1.87,4.86,5.0,3.85,3.97
2023-11-30 23:30:02,0,34.0,1.85,1.87,4.9,5.0,3.85,3.95
2023-11-30 23:30:03,0,35.0,1.85,1.87,4.9,5.0,3.85,3.95
2023-11-30 23:30:04,0,36.0,1.85,1.87,4.9,5.0,3.85,3.95
