0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-11-30 23:00:06,0,0.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:07,0,1.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:08,0,2.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:09,0,3.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:10,0,4.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:11,0,5.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:12,0,6.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:13,0,7.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:14,0,8.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:15,0,9.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:16,0,10.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:17,0,11.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:18,0,12.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:19,0,13.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:20,0,14.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:21,0,15.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:22,0,16.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:23,0,17.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:24,0,18.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:25,0,19.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:26,0,20.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:27,0,21.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:28,0,22.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:29,0,23.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:30,0,24.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:31,0,25.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:32,0,26.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:33,0,27.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:34,0,28.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:35,0,29.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:36,0,30.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:37,0,31.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:38,0,32.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:39,0,33.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:40,0,34.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:41,0,35.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:42,0,36.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:43,0,37.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:44,0,38.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:45,0,39.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:46,0,40.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:47,0,41.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:48,0,42.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:49,0,43.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:50,0,44.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:51,0,45.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:52,0,46.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:53,0,47.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:54,0,48.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:55,0,49.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:56,0,50.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:57,0,51.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:58,0,52.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:00:59,0,53.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:00,0,54.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:01,0,55.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:02,0,56.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:03,0,57.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:04,0,58.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:05,0,59.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:06,1,60.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:07,1,61.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:08,1,62.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:09,1,63.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:10,1,64.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:11,1,65.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:12,1,66.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:13,1,67.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:14,1,68.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:15,1,69.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:16,1,70.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:17,1,71.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:18,1,72.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:19,1,73.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:20,1,74.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:21,1,75.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:22,1,76.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:23,1,77.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:24,1,78.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:25,1,79.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:26,1,80.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:27,1,81.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:28,1,82.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:29,1,83.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:30,1,84.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:31,1,85.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:32,1,86.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:33,1,87.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:34,1,88.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:35,1,89.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:36,1,90.0,2.02,2.06,4.4,4.6,3.5,3.65
2023-11-30 23:01:37,1,91.0,2.02,2.06,4.4,4.6,3.5,3.65
