0,mins_elapsed,seconds_elapsed,6,8,18,20,30,32
2023-01-11 23:56:44,0,0.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:45,0,1.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:46,0,2.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:47,0,3.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:48,0,4.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:49,0,5.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:50,0,6.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:51,0,7.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:52,0,8.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:53,0,9.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:54,0,10.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:55,0,11.0,1.46,1.5,6.8,7.6,5.5,6.0
2023-01-11 23:56:56,0,12.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:56:57,0,13.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:56:58,0,14.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:56:59,0,15.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:00,0,16.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:01,0,17.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:02,0,18.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:03,0,19.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:04,0,20.0,1.46,1.48,7.0,7.4,5.6,5.85
2023-01-11 23:57:05,0,21.0,1.46,1.48,7.0,7.4,5.6,5.9
2023-01-11 23:57:06,0,22.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:07,0,23.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:08,0,24.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:09,0,25.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:10,0,26.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:11,0,27.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:12,0,28.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:13,0,29.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:14,0,30.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:15,0,31.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:16,0,32.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:17,0,33.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:18,0,34.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:19,0,35.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:20,0,36.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:21,0,37.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:22,0,38.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:23,0,39.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:24,0,40.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:25,0,41.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:26,0,42.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:27,0,43.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:28,0,44.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:29,0,45.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:30,0,46.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:31,0,47.0,1.46,1.47,7.0,7.6,5.5,5.8
2023-01-11 23:57:32,0,48.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:33,0,49.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:34,0,50.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:35,0,51.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:36,0,52.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:37,0,53.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:38,0,54.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:39,0,55.0,1.45,1.46,7.2,7.8,5.5,5.8
2023-01-11 23:57:40,0,56.0,1.45,1.46,7.2,7.6,5.5,5.8
2023-01-11 23:57:41,0,57.0,1.45,1.46,7.2,7.6,5.5,5.8
2023-01-11 23:57:42,0,58.0,1.45,1.46,7.2,7.6,5.5,5.7
2023-01-11 23:57:43,0,59.0,1.45,1.46,7.2,7.6,5.5,5.7
2023-01-11 23:57:44,1,60.0,1.45,1.46,7.2,7.6,5.5,5.7
